;Data;Date;
2022-12-24;1769;2022-12-24;
2022-12-25;1484;2022-12-25;
2022-12-26;2098;2022-12-26;
2022-12-27;2055;2022-12-27;
2022-12-28;1926;2022-12-28;
2022-12-29;2155;2022-12-29;
2022-12-30;2102;2022-12-30;
2022-12-31;1987;2022-12-31;
2023-01-01;1949;2023-01-01;
2023-01-02;3500;2023-01-02;
2023-01-03;4851;2023-01-03;
2023-01-04;4281;2023-01-04;
2023-01-05;3529;2023-01-05;
2023-01-06;2952;2023-01-06;
2023-01-07;2427;2023-01-07;
2023-01-08;2070;2023-01-08;
2023-01-09;2002;2023-01-09;
2023-01-10;1726;2023-01-10;
2023-01-11;1696;2023-01-11;
2023-01-12;1660;2023-01-12;
2023-01-13;1539;2023-01-13;
2023-01-14;1469;2023-01-14;
2023-01-15;1432;2023-01-15;
2023-01-16;1453;2023-01-16;
2023-01-17;1283;2023-01-17;
2023-01-18;1338;2023-01-18;
2023-01-19;1444;2023-01-19;
2023-01-20;1356;2023-01-20;
2023-01-21;1317;2023-01-21;
2023-01-22;1520;2023-01-22;
2023-01-23;1537;2023-01-23;
2023-01-24;1456;2023-01-24;
2023-01-25;1357;2023-01-25;
2023-01-26;1380;2023-01-26;
2023-01-27;1327;2023-01-27;
2023-01-28;1282;2023-01-28;
2023-01-29;1255;2023-01-29;
2023-01-30;1334;2023-01-30;
2023-01-31;1241;2023-01-31;
2023-02-01;1362;2023-02-01;
2023-02-02;1502;2023-02-02;
2023-02-03;1379;2023-02-03;
2023-02-04;1193;2023-02-04;
2023-02-05;1240;2023-02-05;
2023-02-06;1041;2023-02-06;
2023-02-07;1012;2023-02-07;
2023-02-08;1054;2023-02-08;
2023-02-09;975;2023-02-09;
2023-02-10;1020;2023-02-10;
2023-02-11;1007;2023-02-11;
2023-02-12;1083;2023-02-12;
2023-02-13;989;2023-02-13;
2023-02-14;940;2023-02-14;
2023-02-15;970;2023-02-15;
2023-02-16;890;2023-02-16;
2023-02-17;999;2023-02-17;
2023-02-18;1023;2023-02-18;
2023-02-19;922;2023-02-19;
2023-02-20;997;2023-02-20;
2023-02-21;1105;2023-02-21;
2023-02-22;1017;2023-02-22;
2023-02-23;980;2023-02-23;
2023-02-24;951;2023-02-24;
2023-02-25;976;2023-02-25;
2023-02-26;1037;2023-02-26;
2023-02-27;980;2023-02-27;
2023-02-28;937;2023-02-28;
2023-03-01;858;2023-03-01;
2023-03-02;849;2023-03-02;
2023-03-03;828;2023-03-03;
2023-03-04;872;2023-03-04;
2023-03-05;879;2023-03-05;
2023-03-06;783;2023-03-06;
2023-03-07;777;2023-03-07;
2023-03-08;681;2023-03-08;
2023-03-09;751;2023-03-09;
2023-03-10;670;2023-03-10;
2023-03-11;883;2023-03-11;
2023-03-12;870;2023-03-12;
2023-03-13;839;2023-03-13;
2023-03-14;834;2023-03-14;
2023-03-15;797;2023-03-15;
2023-03-16;680;2023-03-16;
2023-03-17;693;2023-03-17;
2023-03-18;722;2023-03-18;
2023-03-19;776;2023-03-19;
2023-03-20;738;2023-03-20;
2023-03-21;627;2023-03-21;
2023-03-22;703;2023-03-22;
2023-03-23;708;2023-03-23;
2023-03-24;624;2023-03-24;
2023-03-25;651;2023-03-25;
2023-03-26;772;2023-03-26;
2023-03-27;759;2023-03-27;
2023-03-28;704;2023-03-28;
2023-03-29;676;2023-03-29;
2023-03-30;703;2023-03-30;
2023-03-31;756;2023-03-31;
2023-04-01;860;2023-04-01;
2023-04-02;845;2023-04-02;
2023-04-03;764;2023-04-03;
2023-04-04;763;2023-04-04;
2023-04-05;720;2023-04-05;
2023-04-06;893;2023-04-06;
2023-04-07;985;2023-04-07;
2023-04-08;919;2023-04-08;
2023-04-09;887;2023-04-09;
2023-04-10;808;2023-04-10;
2023-04-11;719;2023-04-11;
2023-04-12;678;2023-04-12;
2023-04-13;760;2023-04-13;
2023-04-14;724;2023-04-14;
2023-04-15;776;2023-04-15;
2023-04-16;896;2023-04-16;
2023-04-17;694;2023-04-17;
2023-04-18;701;2023-04-18;
2023-04-19;677;2023-04-19;
2023-04-20;738;2023-04-20;
2023-04-21;678;2023-04-21;
2023-04-22;622;2023-04-22;
2023-04-23;720;2023-04-23;
2023-04-24;633;2023-04-24;
2023-04-25;628;2023-04-25;
2023-04-26;677;2023-04-26;
2023-04-27;656;2023-04-27;
2023-04-28;587;2023-04-28;
2023-04-29;744;2023-04-29;
2023-04-30;725;2023-04-30;
2023-05-01;712;2023-05-01;
2023-05-02;658;2023-05-02;
2023-05-03;681;2023-05-03;
2023-05-04;634;2023-05-04;
2023-05-05;662;2023-05-05;
2023-05-06;749;2023-05-06;
2023-05-07;758;2023-05-07;
2023-05-08;745;2023-05-08;
2023-05-09;631;2023-05-09;
2023-05-10;646;2023-05-10;
